,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
0,43900,2016,4,6,43500,clean,automatic,4wd,full-size,36.4715,-82.4834,59.0
1,15490,2009,2,8,98131,clean,automatic,4wd,full-size,40.468826,-74.281734,52.0
2,2495,2002,2,8,201803,clean,automatic,4wd,full-size,42.477134,-82.949564,45.0
3,1300,2000,1,8,170305,rebuilt,automatic,4wd,full-size,40.764373,-82.349503,49.0
5,6995,2003,3,8,167662,clean,automatic,4wd,full-size,45.518031,-122.578752,50.0
6,8995,2006,3,8,115500,clean,automatic,rwd,full-size,43.592223,-96.787488,38.0
7,5995,2005,3,6,191198,clean,automatic,rwd,full-size,38.611926,-121.423565,59.0
9,5500,2007,3,6,139913,clean,manual,rwd,full-size,31.782356,-96.088975,67.0
10,8900,2008,2,8,124600,rebuilt,automatic,4wd,full-size,40.5384,-82.8062,49.0
11,19680,2015,4,6,135150,clean,automatic,4wd,full-size,37.167749,-113.415403,50.0
13,12550,2007,3,8,139848,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
14,11700,2010,2,8,144570,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
15,24077,2012,3,6,98462,clean,automatic,4wd,mid-size,34.25343,-77.85125,56.0
16,39800,2015,3,6,81233,clean,automatic,4wd,mid-size,34.74851,-77.41559000000001,56.0
17,11995,2007,3,8,237627,clean,automatic,4wd,mid-size,35.55495,-77.40626999999999,56.0
19,7500,2005,2,8,152700,clean,automatic,4wd,full-size,34.5575,-114.3307,71.0
20,8000,2005,3,8,114100,clean,automatic,rwd,full-size,40.1306,-104.9504,45.0
22,14000,2010,2,8,116000,clean,automatic,4wd,full-size,31.8841,-94.3967,67.0
23,2500,1999,2,8,198012,clean,automatic,rwd,full-size,33.4669,-94.0774,67.0
24,19550,2011,3,8,95372,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
26,26900,2013,3,8,95208,clean,automatic,4wd,full-size,36.277213,-80.339822,56.0
27,14000,1978,3,8,45000,clean,manual,4wd,full-size,43.000228,-82.43539799999999,45.0
28,4850,2008,2,6,155000,clean,automatic,rwd,full-size,40.1245,-75.3304,53.0
29,3500,1995,2,8,120000,clean,automatic,4wd,full-size,39.875935,-75.555846,53.0
30,14995,2010,3,8,80246,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
